audio_file,transcript_file,phoneme_transcript_file,phonemes,fluency
./data/aligned_audio_revised/aligned_audio_sample_1.wav,./data/aligned_transcript_revised/aligned_audio_sample_1_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_1_phonemes.txt,l u n a c ɹ iː e t a ɲ uː f əw ɫ d ə,P
./data/aligned_audio_revised/aligned_audio_sample_2.wav,./data/aligned_transcript_revised/aligned_audio_sample_2_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_2_phonemes.txt,l u n a ʋ ɛ n i z m ɑ n ɛ k s t ɹ i m aj n d a,P
./data/aligned_audio_revised/aligned_audio_sample_3.wav,./data/aligned_transcript_revised/aligned_audio_sample_3_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_3_phonemes.txt,ç e l u n a ʋ ɒ ʈ s d̪ a ʋ ɛ d̪ ə ʈ ə ɖ eː,P
./data/aligned_audio_revised/aligned_audio_sample_4.wav,./data/aligned_transcript_revised/aligned_audio_sample_4_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_4_phonemes.txt,ç e l u n a p l e a s ɑ ŋ k ɒː l ɖ ʋ iː c ɛ n ɖ z,I
./data/aligned_audio_revised/aligned_audio_sample_5.wav,./data/aligned_transcript_revised/aligned_audio_sample_5_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_5_phonemes.txt,ç e l u n a p ɒː s z a s ɑ ŋ,I
./data/aligned_audio_revised/aligned_audio_sample_6.wav,./data/aligned_transcript_revised/aligned_audio_sample_6_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_6_phonemes.txt,ʈ ɛ l ɛ mʲ iː a dʒ əw k,P
./data/aligned_audio_revised/aligned_audio_sample_7.wav,./data/aligned_transcript_revised/aligned_audio_sample_7_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_7_phonemes.txt,aj a m d ɐ n,I
./data/aligned_audio_revised/aligned_audio_sample_8.wav,./data/aligned_transcript_revised/aligned_audio_sample_8_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_8_phonemes.txt,s aː tʃ f a d̪ a l e tʲ i s t n uː s,B
./data/aligned_audio_revised/aligned_audio_sample_9.wav,./data/aligned_transcript_revised/aligned_audio_sample_9_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_9_phonemes.txt,ç e l u n a əw p ə n spn,I
./data/aligned_audio_revised/aligned_audio_sample_10.wav,./data/aligned_transcript_revised/aligned_audio_sample_10_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_10_phonemes.txt,tʃ ɛ k f a ɐ p d ej t s,I
./data/aligned_audio_revised/aligned_audio_sample_11.wav,./data/aligned_transcript_revised/aligned_audio_sample_11_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_11_phonemes.txt,k ʊ ɖ j ə p ɒː z d̪ a s ɑ ŋ,I
./data/aligned_audio_revised/aligned_audio_sample_12.wav,./data/aligned_transcript_revised/aligned_audio_sample_12_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_12_phonemes.txt,əw p ə n j ʉ tʰ ʉ b,B
./data/aligned_audio_revised/aligned_audio_sample_13.wav,./data/aligned_transcript_revised/aligned_audio_sample_13_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_13_phonemes.txt,ç e l u n a ɹ i s t ɑ ɹ t z a k ə m pʲ ʉː ʈ ə,B
./data/aligned_audio_revised/aligned_audio_sample_14.wav,./data/aligned_transcript_revised/aligned_audio_sample_14_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_14_phonemes.txt,l u n a ɟ i v ɛ mʲ iː ɐ p d ej t a n spn l e tʲ i s n uː s,I
./data/aligned_audio_revised/aligned_audio_sample_15.wav,./data/aligned_transcript_revised/aligned_audio_sample_15_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_15_phonemes.txt,k ɒ m ʋ ɜː ʈ t̪ ɜː ʈʲ i d ɛ ɟ ɹ iː f a ɹ ɛ n h aj t i n ʈ ʉː s ɛ l s iː ə s,I
./data/aligned_audio_revised/aligned_audio_sample_16.wav,./data/aligned_transcript_revised/aligned_audio_sample_16_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_16_phonemes.txt,l u n a s ʋ ɪ tʃ ə d̪ a n ɛ k s ʈ a b,B
./data/aligned_audio_revised/aligned_audio_sample_17.wav,./data/aligned_transcript_revised/aligned_audio_sample_17_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_17_phonemes.txt,cʰ æ n j ə s aː tʃ ð a ʈ ɒ p ɪ k ɒ ɹ ə k ə l d a t a b e s i n ɡ ʉː ɡ ə l,B
./data/aligned_audio_revised/aligned_audio_sample_18.wav,./data/aligned_transcript_revised/aligned_audio_sample_18_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_18_phonemes.txt,ç e l u n a cʰ æ n j ə p ɹ ɔ v aj d d̪ a ɹ ɛ s ə pʲ i f a a tʃ i c ɛ n spn,B
./data/aligned_audio_revised/aligned_audio_sample_19.wav,./data/aligned_transcript_revised/aligned_audio_sample_19_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_19_phonemes.txt,s ɛ n d ð a ɛ m e ɫ,B
./data/aligned_audio_revised/aligned_audio_sample_20.wav,./data/aligned_transcript_revised/aligned_audio_sample_20_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_20_phonemes.txt,ʈ ɛ l ɛ mʲ iː a dʒ əw k,I
./data/aligned_audio_revised/aligned_audio_sample_21.wav,./data/aligned_transcript_revised/aligned_audio_sample_21_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_21_phonemes.txt,cʰ æ n s ə ɫ z a a l a m,I
./data/aligned_audio_revised/aligned_audio_sample_22.wav,./data/aligned_transcript_revised/aligned_audio_sample_22_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_22_phonemes.txt,s ʋ ɪ tʃ ə d̪ a n ɛ k s ʈ a b,P
./data/aligned_audio_revised/aligned_audio_sample_23.wav,./data/aligned_transcript_revised/aligned_audio_sample_23_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_23_phonemes.txt,ɹ ɪ ɲ eː m d̪ a f əw ɫ d ə,P
./data/aligned_audio_revised/aligned_audio_sample_24.wav,./data/aligned_transcript_revised/aligned_audio_sample_24_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_24_phonemes.txt,l u n a ʋ ɒ ʈ i z fʲ i f ʈ iː n p ə s ɛ n ʈ ɒ v ʈ ʉː spn,P
./data/aligned_audio_revised/aligned_audio_sample_25.wav,./data/aligned_transcript_revised/aligned_audio_sample_25_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_25_phonemes.txt,ç e l u n a v i z i t spn,P
./data/aligned_audio_revised/aligned_audio_sample_26.wav,./data/aligned_transcript_revised/aligned_audio_sample_26_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_26_phonemes.txt,h ə l əw h ə l əw h ə l əw h aw a j ə j ɛ s aj m f aj n d̪ i s i z spn spn b aj ʈ ɑː ʈ ə,P
./data/aligned_audio_revised/aligned_audio_sample_32.wav,./data/aligned_transcript_revised/aligned_audio_sample_32_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_32_phonemes.txt,s k ɹ əw ɹ d aw n l u n a,I
./data/aligned_audio_revised/aligned_audio_sample_33.wav,./data/aligned_transcript_revised/aligned_audio_sample_33_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_33_phonemes.txt,ʃ ɐ t d aw n d̪ a k ə m pʲ ʉː ʈ ə l u n a,B
./data/aligned_audio_revised/aligned_audio_sample_34.wav,./data/aligned_transcript_revised/aligned_audio_sample_34_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_34_phonemes.txt,l u n a s ɛ t a n a l a m f a ʈ ə m ɒ ɹ oː s i k s a m,I
./data/aligned_audio_revised/aligned_audio_sample_35.wav,./data/aligned_transcript_revised/aligned_audio_sample_35_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_35_phonemes.txt,ʋ ɛ n i z m ɑ n ɛ k s t ɹ i m aj n d a l u n a,P
./data/aligned_audio_revised/aligned_audio_sample_38.wav,./data/aligned_transcript_revised/aligned_audio_sample_38_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_38_phonemes.txt,cʰ æ n s ə ɫ ð a a l a m l u n a,P
./data/aligned_audio_revised/aligned_audio_sample_39.wav,./data/aligned_transcript_revised/aligned_audio_sample_39_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_39_phonemes.txt,ʋ ɒ ʈ s j ɒ ɹ n e m l u n a,P
./data/aligned_audio_revised/aligned_audio_sample_40.wav,./data/aligned_transcript_revised/aligned_audio_sample_40_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_40_phonemes.txt,ç e l u n a cʰ æ n j ə h ɛ l p ɛ mʲ iː,P
./data/aligned_audio_revised/aligned_audio_sample_42.wav,./data/aligned_transcript_revised/aligned_audio_sample_42_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_42_phonemes.txt,t̪ a ŋ k j ə l u n a,I
./data/aligned_audio_revised/aligned_audio_sample_43.wav,./data/aligned_transcript_revised/aligned_audio_sample_43_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_43_phonemes.txt,l u n a c ɹ iː e t a ɲ uː f əw ɫ d ə,I
./data/aligned_audio_revised/aligned_audio_sample_44.wav,./data/aligned_transcript_revised/aligned_audio_sample_44_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_44_phonemes.txt,d ə ʎ iː t d̪ a f aj l l u n a,I
./data/aligned_audio_revised/aligned_audio_sample_45.wav,./data/aligned_transcript_revised/aligned_audio_sample_45_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_45_phonemes.txt,l u n a ɹ ɪ ɲ eː m d̪ a f əw ɫ d ə,I
./data/aligned_audio_revised/aligned_audio_sample_46.wav,./data/aligned_transcript_revised/aligned_audio_sample_46_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_46_phonemes.txt,m uː v d̪ a f aj l ə d̪ a d ɛ s k tʰ ɑ p l u n a,I
./data/aligned_audio_revised/aligned_audio_sample_47.wav,./data/aligned_transcript_revised/aligned_audio_sample_47_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_47_phonemes.txt,l u n a ʈ ɜː n a n d̪ a ʋ aj f aj,B
./data/aligned_audio_revised/aligned_audio_sample_49.wav,./data/aligned_transcript_revised/aligned_audio_sample_49_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_49_phonemes.txt,a dʒ ɔ s t d̪ a s c ɹ iː n b ɹ aj t n ə s l u n a,B
./data/aligned_audio_revised/aligned_audio_sample_50.wav,./data/aligned_transcript_revised/aligned_audio_sample_50_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_50_phonemes.txt,l u n a tʃ ɛ k f a s ɪ s t ə m ɐ p d ej t s,B
./data/aligned_audio_revised/aligned_audio_sample_51.wav,./data/aligned_transcript_revised/aligned_audio_sample_51_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_51_phonemes.txt,ç e l u n a ʋ ɒ ʈ s d̪ a ʋ ɛ d̪ ə ʈ ə ɖ eː,B
./data/aligned_audio_revised/aligned_audio_sample_52.wav,./data/aligned_transcript_revised/aligned_audio_sample_52_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_52_phonemes.txt,ʈ ɛ l ɛ mʲ iː d̪ a l e tʲ i s n uː z l u n a,B
./data/aligned_audio_revised/aligned_audio_sample_53.wav,./data/aligned_transcript_revised/aligned_audio_sample_53_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_53_phonemes.txt,l u n a ʋ ɒ ʈ i z fʲ i f ʈ iː n p ə s ɛ n ʈ ɒ f ʈ ʉː h ɐ n d ɹ ə d,B
./data/aligned_audio_revised/aligned_audio_sample_54.wav,./data/aligned_transcript_revised/aligned_audio_sample_54_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_54_phonemes.txt,ç e l u n a h aw a j ə,I
./data/aligned_audio_revised/aligned_audio_sample_55.wav,./data/aligned_transcript_revised/aligned_audio_sample_55_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_55_phonemes.txt,k ɒ m ʋ ɜː ʈ f ɒ ɹ tʲ i f aj v f a ɹ ɛ n h aj t ə spn l u n a,I
./data/aligned_audio_revised/aligned_audio_sample_56.wav,./data/aligned_transcript_revised/aligned_audio_sample_56_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_56_phonemes.txt,l u n a əw p ə n j ʉ tʰ ʉ b,I
./data/aligned_audio_revised/aligned_audio_sample_57.wav,./data/aligned_transcript_revised/aligned_audio_sample_57_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_57_phonemes.txt,ç e l u n a p l e k ɑː m d aw n a n j ʉ tʰ ʉ b,I
./data/aligned_audio_revised/aligned_audio_sample_59.wav,./data/aligned_transcript_revised/aligned_audio_sample_59_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_59_phonemes.txt,l u n a p ɒː s d̪ a v i dʲ i əw,I
./data/aligned_audio_revised/aligned_audio_sample_60.wav,./data/aligned_transcript_revised/aligned_audio_sample_60_words.txt,./data/aligned_phonemes_revised/aligned_audio_sample_60_phonemes.txt,p l e d̪ a n ɛ k s t s ɑ ŋ l u n a,I
